id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
42043,1939,Abilene,Citizens,Taylor,48441,727951,280080,439889,2938594,178758,4565272,200000,75000,16993,4269529,0,0,3750,4565272,0,4565272,0
41002,1939,Abilene,Farmers and Merchants,Taylor,48441,1453001,669990,236695,3852080,172793,6384559,250000,30000,17017,6086862,0,0,680,6384559,0,6384559,0
41004,1939,Albany,First,Shackelford,48417,375440,155119,59946,703775,23501,1317781,100000,25000,32405,1160376,0,0,0,1317781,0,1317781,0
41007,1939,Alpine,First,Brewster,48043,392706,69000,41796,389239,10504,903245,75000,31000,8354,788891,0,0,0,903245,0,903245,0
41011,1939,Alvord,Alvord,Wise,48497,44795,122100,24455,164491,2,355843,50000,50000,235,255608,0,0,0,355843,0,355843,0
45001,1939,Amarillo,American,Potter,48375,1434984,103203,100372,635231,54283,2328073,130000,30000,59157,2103445,0,0,5471,2328073,0,2328073,0
41012,1939,Amarillo,First,Potter,48375,2871312,998423,1537168,3038682,205874,8651459,500000,100000,271312,7771417,0,0,8730,8651459,0,8651459,0
41013,1939,Amarillo,Amarillo,Potter,48375,5040060,1025631,483954,5011028,260534,11821207,500000,50000,151114,11120066,0,0,27,11821207,0,11821207,0
41015,1939,Amherst,First,Lamb,48279,71967,13900,68320,501906,901,656994,25000,11000,14862,606132,0,0,0,656994,0,656994,0
41016,1939,Anderson,First,Grimes,48185,90640,16600,32771,156757,3121,299889,25000,25000,6433,243456,0,0,0,299889,0,299889,0
45002,1939,Angleton,First,Brazoria,48039,267018,26821,282931,556189,16517,1149476,50000,22000,5000,1068656,0,0,3820,1149476,0,1149476,0
41017,1939,Anna,First,Collin,48085,89439,0,17822,94783,5661,207705,35000,11500,1500,159705,0,0,0,207705,0,207705,0
41018,1939,Annona,First,Red River,48387,52451,0,7093,51890,5451,116885,30000,6000,904,79981,0,0,0,116885,0,116885,0
41019,1939,Anson,First,Jones,48253,159435,95500,59668,538971,48103,901677,50000,50000,22921,773756,0,0,5000,901677,0,901677,0
41022,1939,Aspermont,First,Stonewall,48433,114625,9800,52571,309600,4500,491096,25000,25000,15000,419748,0,0,6348,491096,0,491096,0
41023,1939,Athens,First,Henderson,48213,568715,71846,140588,585516,17392,1384057,100000,10000,44511,1229546,0,0,0,1384057,0,1384057,0
41025,1939,Atlanta,First,Cass,48067,119610,248817,5841,696551,8866,1079685,50000,40500,8957,980228,0,0,0,1079685,0,1079685,0
41026,1939,Atlanta,Atlanta,Cass,48067,386902,435197,183808,446134,15000,1467041,50000,60000,47094,1309947,0,0,0,1467041,0,1467041,0
45003,1939,Austin,Capital,Travis,48453,1642119,58403,1356168,1311031,37881,4405602,200000,150000,38818,3980861,0,0,35923,4405602,0,4405602,0
41027,1939,Austin,American,Travis,48453,2332440,4191094,2695034,5543851,98581,14861000,300000,300000,216664,14016420,0,0,27916,14861000,0,14861000,0
41028,1939,Austin,Austin,Travis,48453,3547294,3009237,2007298,11112171,281439,19957439,570750,500000,342353,18473047,0,0,71289,19957439,0,19957439,0
41031,1939,Bailey,First,Fannin,48147,80745,7500,15237,82287,3666,189435,25000,7500,1087,155848,0,0,0,189435,0,189435,0
41032,1939,Baird,First,Callahan,48059,181843,456208,120816,446534,12021,1217422,50000,14125,31927,1120933,0,0,437,1217422,0,1217422,0
41033,1939,Ballinger,First,Runnels,48399,440404,58300,152280,483225,35501,1169710,100000,56000,7431,1005004,0,0,1275,1169710,0,1169710,0
41034,1939,Bandera,First,Bandera,48019,89814,1200,41676,52411,7815,192915,25000,10000,575,156340,0,0,1000,192916,-1,192915,1
41036,1939,Bartlett,First,Bell,48027,153511,120807,26443,189849,17651,508261,100000,35000,1213,368747,0,0,3301,508261,0,508261,0
41038,1939,Bastrop,First,Bastrop,48021,130421,2000,32482,146769,8293,319965,50000,25000,1890,243075,0,0,0,319965,0,319965,0
41039,1939,Bay City,First,Matagorda,48321,693299,398675,562912,806419,14594,2475899,100000,45000,75669,2236953,0,0,18277,2475899,0,2475899,0
41041,1939,Beaumont,American,Jefferson,48245,2818579,2419632,1542059,6033921,690991,13505182,400000,400000,242696,12456979,0,0,5507,13505182,0,13505182,0
41040,1939,Beaumont,First?,Jefferson,48245,3121263,4165277,1134027,6396793,429553,15246913,400000,400000,527051,13852862,0,0,67000,15246913,0,15246913,0
41045,1939,Beeville,Commercial,Bee,48025,311097,0,143762,505602,29505,989966,100000,80000,5281,799685,0,0,5000,989966,0,989966,0
41044,1939,Beeville,First,Bee,48025,323353,9200,115057,957176,39093,1443879,100000,50000,15512,1275367,0,0,3000,1443879,0,1443879,0
41048,1939,Belleville,First,Austin,48015,314646,106477,169733,149867,10438,751160,50000,42000,14500,641160,0,0,3500,751161,-1,751160,1
41047,1939,Bells,First,Grayson,48181,54288,25650,10786,54588,6542,151854,25000,3100,1387,122367,0,0,0,151854,0,151854,0
41050,1939,Belton,Peoples,Bell,48027,40608,50000,43845,254740,7500,396693,50000,4000,4686,335007,0,0,3000,396693,0,396693,0
41900,1939,Belton,Farmers,Bell,48027,82929,31005,235225,143482,11500,504141,50000,13000,26150,414991,0,0,0,504141,0,504141,0
41052,1939,Big Spring,State,Howard,48227,924398,24500,166181,1099202,3,2214284,50000,100000,72415,1991869,0,0,0,2214284,0,2214284,0
41051,1939,Big Spring,First,Howard,48227,1057673,223332,220924,1456590,51000,3009519,100000,100000,65967,2743552,0,0,0,3009519,0,3009519,0
