id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
41053,1933,Big Spring,West Texas,Howard,48227,459519,50095,77033,144601,84606,815854,50000,50000,9097,656471,50000,0,286,815854,0,815854,0
41052,1933,Big Spring,State,Howard,48227,486216,75100,117676,337688,14751,1031431,50000,100000,13449,817982,50000,0,0,1031431,0,1031431,0
41056,1933,Blanco,Blanco,Blanco,48031,86233,26035,1150,28942,23336,165696,25000,0,2496,113205,24995,0,0,165696,0,165696,0
41059,1933,Bogata,First,Red River,48387,47729,25150,6184,74937,22290,176290,50000,0,555,100677,25000,0,58,176290,0,176290,0
41060,1933,Bonham,First,Fannin,48147,399212,47393,333863,227664,63484,1071616,200000,25000,2158,844458,0,0,0,1071616,0,1071616,0
41062,1933,Bowie,First,Montague,48337,219794,65617,3250,123896,48647,461204,50000,25000,24,338680,47500,0,0,461204,0,461204,0
41066,1933,Brady,Commercial,McCulloch,48307,183713,120300,12134,270359,89390,675896,130000,60000,3719,381992,100000,0,185,675896,0,675896,0
41065,1933,Brady,Brady,McCulloch,48307,212775,118256,12000,280838,56462,680331,100000,50000,14706,465428,50000,0,197,680331,0,680331,0
41067,1933,Breckenridge,First,Stephens,48429,630474,314600,68374,434457,285226,1733131,200000,50000,7150,1465981,10000,0,0,1733131,0,1733131,0
42039,1933,Brenham,Farmers,Washington,48477,199156,50200,14005,124585,11929,399875,50000,0,4810,294997,50000,0,68,399875,0,399875,0
41068,1933,Brenham,First,Washington,48477,560574,243650,212495,447218,176453,1640390,150000,25000,25828,1278338,150000,0,11224,1640390,0,1640390,0
41070,1933,Bridgeport,First,Wise,48497,121333,45000,62632,35750,30731,295446,35000,35000,0,190362,35000,0,84,295446,0,295446,0
41071,1933,Bronte,First,Coke,48081,81176,0,11197,150615,9896,252884,25000,12500,2000,213384,0,0,0,252884,0,252884,0
41072,1933,Brownfield,First,Terry,48445,165216,0,45239,72266,32689,315410,50000,6000,2264,257146,0,0,0,315410,0,315410,0
41075,1933,Brownsville,State,Cameron,48061,727041,517000,10050,958858,206939,2419888,250000,65000,162,1854726,250000,0,0,2419888,0,2419888,0
41076,1933,Brownwood,First,Brown,48049,519220,839000,26258,607116,122860,2114454,100000,100000,206425,1603298,100000,0,4731,2114454,0,2114454,0
41079,1933,Bryan,First,Brazos,48041,186041,285200,122177,144269,120615,858302,100000,50000,28175,580127,100000,0,0,858302,0,858302,0
41080,1933,Bryan,City,Brazos,48041,372556,257600,10804,216198,21016,878174,150000,30000,50585,533903,110000,0,3686,878174,0,878174,0
42034,1933,Burkbernett,First,Wichita,48485,221851,40000,5018,147744,2567,417180,40000,0,4410,332437,40000,0,333,417180,0,417180,0
41083,1933,Byers,First,Clay,48077,105156,25000,2526,95430,21792,249904,25000,10000,1989,187915,25000,0,0,249904,0,249904,0
41084,1933,Bynum,First,Hill,48217,69002,0,1825,100897,17959,189683,25000,15000,12635,137048,0,0,0,189683,0,189683,0
41085,1933,Caddo Mill,State,Hunt,48231,32041,6333,1000,110522,13007,162903,30000,3000,2258,127645,0,0,0,162903,0,162903,0
41086,1933,Caldwell,Caldwell,Burleson,48051,45611,208000,62088,222046,17211,554956,100000,25000,5281,321836,99998,0,2841,554956,0,554956,0
42044,1933,Cameron,First,Milam,48331,145462,50000,33465,168972,39008,436907,50000,3644,0,333263,50000,0,0,436907,0,436907,0
41088,1933,Cameron,Citizens,Milam,48331,265713,247058,717404,305877,94999,1631051,100000,125000,15986,1289882,100000,0,183,1631051,0,1631051,0
41090,1933,Canadian,Southwest,Hemphill,48211,155593,0,7507,92326,34000,289426,100000,10000,0,179035,0,0,391,289426,0,289426,0
41089,1933,Canadian,First,Hemphill,48211,261860,0,3600,76476,23568,365504,100000,10000,4133,249326,0,0,2045,365504,0,365504,0
41091,1933,Canton,First,Van Zandt,48467,35289,20000,257033,168525,28768,509615,40000,14000,6972,438578,10000,0,65,509615,0,509615,0
41092,1933,Canyon,First,Randall,48381,156407,50000,2738,65970,46195,321310,50000,0,1072,220238,50000,0,0,321310,0,321310,0
41093,1933,Carthage,First,Panola,48365,68120,12861,21814,198567,34787,336149,50000,10000,14437,249138,12500,0,74,336149,0,336149,0
41094,1933,Celeste,First,Hunt,48231,70297,31500,4400,83631,14705,204533,50000,0,1562,122971,30000,0,0,204533,0,204533,0
41097,1933,Childress,City,Childress,48075,173588,25289,41898,173304,72928,487007,100000,2000,8500,376031,0,0,476,487007,0,487007,0
41096,1933,Childress,First,Childress,48075,467201,437000,423216,510475,54360,1892252,50000,100000,27052,1665200,50000,0,0,1892252,0,1892252,0
41098,1933,Chillicothe,First,Hardeman,48197,22714,5500,3500,207890,20365,259969,25000,10000,1192,223777,0,0,0,259969,0,259969,0
41099,1933,Cisco,First,Eastland,48133,221157,115300,152175,363899,40322,892853,50000,40000,279,802574,0,0,0,892853,0,892853,0
41100,1933,Clarendon,First,Donley,48129,183278,50000,2788,103706,6333,346105,50000,30000,9398,206614,50000,0,93,346105,0,346105,0
42006,1933,Clarksville,Red River,Red River,48387,261437,5000,229246,253070,97436,846189,100000,25000,704,720288,0,0,197,846189,0,846189,0
41103,1933,Claude,First,Armstrong,48011,28698,50000,1500,21578,34637,136413,25000,25000,700,56669,25000,4000,44,136413,0,136413,0
41104,1933,Cleburne,City,Johnson,48251,214626,291229,611064,189346,40592,1346857,100000,13500,13339,1119006,100000,0,1012,1346857,0,1346857,0
41105,1933,Cleveland,First,Liberty,48291,97620,6350,34647,96623,20296,255536,25000,15000,6209,203077,6250,0,0,255536,0,255536,0
42017,1933,Coleman,First,Coleman,48083,380596,355950,7325,310685,22005,1076561,100000,10000,30000,834773,100000,0,1788,1076561,0,1076561,0
41112,1933,Colorado,City,Mitchell,48335,870051,40000,14574,373594,97084,1395303,100000,75000,5826,1174477,40000,0,0,1395303,0,1395303,0
41114,1933,Comanche,Comanche,Comanche,48093,258660,86150,3600,183875,27713,559998,100000,10000,6803,393195,50000,0,0,559998,0,559998,0
41115,1933,Commerce,First,Hunt,48231,135905,68500,50155,161540,8376,424476,50000,10000,8809,353167,0,0,2500,424476,0,424476,0
41116,1933,Conroe,First,Montgomery,48339,180203,166419,355705,483114,19889,1205330,50000,25000,531,1079459,50000,0,340,1205330,0,1205330,0
41117,1933,Coolidge,First,Limestone,48293,97453,100000,38323,155641,21919,413336,75000,40000,798,222538,75000,0,0,413336,0,413336,0
41119,1933,Cooper,Delta,Delta,48119,53752,107200,61064,198849,14397,435262,50000,25000,19418,303344,37500,0,0,435262,0,435262,0
41118,1933,Cooper,First,Delta,48119,55482,73538,79838,116188,40269,365315,50000,25000,4586,235729,50000,0,0,365315,0,365315,0
41122,1933,Corpus Christi,State,Nueces,48355,1217392,526671,191447,668591,97356,2701457,200000,200000,12306,2089151,200000,0,0,2701457,0,2701457,0
41121,1933,Corpus Christi,Corpus Christi,Nueces,48355,1865249,832150,280329,1421681,97341,4496750,200000,200000,24201,4071822,0,0,727,4496750,0,4496750,0
41125,1933,Corsicana,State,Navarro,48349,652388,248400,347221,527183,416998,2192190,300000,75000,8209,1513621,197360,0,98000,2192190,0,2192190,0
41123,1933,Corsicana,First,Navarro,48349,3441924,549394,162195,1274158,227929,5655600,600000,400000,41921,4113679,500000,0,0,5655600,0,5655600,0
41126,1933,Cotulla,Stockmens,La Salle,48283,144883,60000,80539,26088,34462,345972,75000,13000,91,154462,60000,43419,0,345972,0,345972,0
41127,1933,Crandall,Citizens,Kaufman,48257,43624,50000,5471,124197,25060,248352,25000,50000,10559,137729,25000,0,64,248352,0,248352,0
41128,1933,Crockett,First,Houston,48225,317416,212183,176053,305816,37119,1048587,100000,100000,17375,731063,100000,0,149,1048587,0,1048587,0
41129,1933,Crosbyton,Citizens,Crosby,48107,260603,26043,15566,112218,24022,438452,50000,0,2503,363279,22500,0,170,438452,0,438452,0
41131,1933,Cuero,Buchel,De Witt,48123,266475,54295,104065,269546,28084,722465,100000,10000,8454,579011,25000,0,0,722465,0,722465,0
41132,1933,Cushing,First,Nacogdoches,48347,87182,0,13890,137441,3045,241558,25000,25000,2465,189093,0,0,0,241558,0,241558,0
