id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diff,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diff1
2003,1933,Appleton,First,Outagamie,55087,3280314,1357061,1398355,1623389,203008,7862127,7862127,0,500000,500000,128253,6219379,499998,0,14497,7862127,0
2204,1933,Ashland,Union,Ashland,55003,149501,105229,68061,417196,23282,763269,763269,0,100000,10000,54,653215,0,0,0,763269,0
2113,1933,Baldwin,First,St Croix,55109,200003,50512,86081,53150,28118,417864,417864,0,25000,20000,10495,334139,25000,0,3230,417864,0
2114,1933,Bangor,First,La Crosse,55063,179603,65100,318169,54926,17013,634811,634811,0,50000,10000,71161,449956,50000,0,3694,634811,0
2115,1933,Barron,First,Barron,55005,132052,44506,79034,54463,25898,335953,335953,0,25000,5000,3262,302691,0,0,0,335953,0
2116,1933,Bayfield,First,Bayfield,55007,119944,54450,27862,9235,18031,229522,229522,0,35000,4500,419,132166,25000,32437,0,229522,0
2006,1933,Beaver Dam,American,Dodge,55027,274076,231826,726971,248609,43954,1525436,1525436,0,100000,75000,17492,1231881,100000,0,1063,1525436,0
2007,1933,Beaver Dam,Old,Dodge,55027,237770,599491,571190,139971,33536,1581958,1581958,0,100000,100000,11921,1268521,100000,0,1516,1581958,0
2008,1933,Beloit,Second,Rock,55105,501340,91500,400392,440978,137728,1571938,1571938,0,50000,35000,15055,1421883,50000,0,0,1571938,0
2009,1933,Berlin,First,Green Lake,55047,481011,221227,683707,219400,79246,1684591,1684591,0,100000,100000,19114,1348584,100000,0,16893,1684591,0
2011,1933,Blanchardville,First,Lafayette,55065,22991,25051,26571,150030,14424,239067,239067,0,25000,5000,15,184052,25000,0,0,239067,0
2013,1933,Burlington,Burlington,Racine,55101,351130,110380,225429,109435,30755,827129,827129,0,100000,35000,7598,584531,100000,0,0,827129,0
2118,1933,Chippewa Falls,First,Chippewa,55017,267500,145348,217724,128927,61001,820500,820500,0,100000,15000,164,605336,100000,0,0,820500,0
