id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diffA,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diffL
1051,1939,brewster,first,Putnam,36079,149568,105509,421605,315510,31613,1023805,1023805,0,100000,34000,8458,878337,0,0,3010,1023805,0
1052,1939,bridgehampton,bridgehampton,Suffolk,36103,383599,253875,500567,349380,39581,1527002,1527002,0,100000,50000,20473,1356529,0,0,0,1527002,0
1054,1939,bronxville,gramatan nb and tc,Westchester,36119,2197368,317513,125138,1228263,316327,4184609,4184609,0,200000,100000,29647,3808779,0,0,46183,4184609,0
1600,1939,buffalo,niagara,Erie,36029,1493705,895643,1470752,1008852,312958,5181910,5181910,0,500000,200000,89649,4381098,0,0,11163,5181910,0
1070,1939,cairo,first,Greene,36039,215510,138182,182505,63586,21653,621436,621436,0,71000,15000,12906,522433,0,0,97,621436,0
1071,1939,caledonia,first,Livingston,36051,876992,31000,58182,134748,43183,1144105,1144105,0,125000,0,-11678,995783,0,35000,0,1144105,0
1616,1939,callicoon,first,Sullivan,36105,210036,464720,297180,307790,26775,1306501,1306501,0,100000,31000,56272,1115229,0,0,4000,1306501,0
1073,1939,cambridge,cambridge valley,Washington,36115,291364,142888,329827,115902,9064,889045,889045,0,50000,50000,17439,771606,0,0,0,889045,0
1074,1939,camden,first nb and tc,Oneida,36065,135392,910000,37900,454750,72375,1610417,1610417,0,100000,65000,23484,1412141,0,0,9792,1610417,0
1075,1939,canajoharie,canajoharie,Montgomery,36057,692452,1714497,284800,887682,20581,3600012,3600012,0,200000,200000,134781,3054231,0,0,11000,3600012,0
1077,1939,canandaigua,canandaigua nb and tc,Ontario,36069,810906,1510704,1841564,1312001,71254,5546429,5546429,0,341800,250000,334497,4620122,0,0,10,5546429,0
1078,1939,canastota,first,Madison,36053,191133,455024,325991,201438,9120,1182706,1182706,0,57000,93000,24461,1008242,0,0,3,1182706,0
1079,1939,candor,first,Tioga,36107,127844,90925,125703,74157,1577,420206,420206,0,58000,17000,20096,324403,0,0,707,420206,0
1080,1939,canton,first,St Lawrence,36089,762121,281058,290183,188806,102868,1625036,1625036,0,238550,28450,15513,1342523,0,0,0,1625036,0
1081,1939,canton,st lawrence county,St Lawrence,36089,382634,94475,568630,458034,18156,1521929,1521929,0,100000,100000,41002,1280927,0,0,0,1521929,0
1082,1939,carmel,putnam county,Putnam,36079,971196,52454,229643,253486,31236,1538015,1538015,0,122125,48000,64595,1289141,0,0,14154,1538015,0
1085,1939,castleton on hudson,national exchange,Rensselaer,36083,189433,171234,182103,140731,6000,689501,689501,0,50000,50000,45899,543602,0,0,0,689501,0
1087,1939,catskill,catskill,Greene,36039,249300,310825,378268,247510,41081,1226984,1226984,0,150000,90200,12728,970306,0,0,3750,1226984,0
1088,1939,catskill,tanners,Greene,36039,283296,868477,363468,397558,38688,1951487,1951487,0,150000,150000,139990,1505497,0,0,6000,1951487,0
1089,1939,cazenovia,cazenovia,Madison,36053,215819,470951,92304,260570,124257,1163901,1163901,0,375000,0,-106069,891507,0,0,3463,1163901,0
1090,1939,cedarhurst,peninsula,Nassau,36059,1536984,331902,468276,1155205,71345,3563712,3563712,0,263700,8000,89100,3177995,0,0,24917,3563712,0
1091,1939,central islip,central islip,Suffolk,36103,593614,50398,212307,301784,39218,1197321,1197321,0,84500,33925,7661,1050462,0,0,20773,1197321,0
1093,1939,central square,first,Oswego,36075,893725,101478,368482,192891,38440,1595016,1595016,0,150000,50000,93075,1301191,0,0,750,1595016,0
1094,1939,central valley,central valley,Orange,36071,368446,23982,199720,119063,47173,758384,758384,0,100000,20000,2892,635492,0,0,0,758384,0
1096,1939,chappaqua,chappaqua,Westchester,36119,174505,225042,193753,129953,66377,789630,789630,0,66875,4000,15637,700930,0,0,2188,789630,0
1097,1939,chateaugay,first,Franklin,36033,410718,188952,206380,142850,45117,994017,994017,0,95000,22000,22222,853195,0,0,1600,994017,0
1620,1939,cherry valley,otsego county,Otsego,36077,160143,31100,585889,95884,14510,887526,887526,0,50000,50000,38156,749370,0,0,0,887526,0
1100,1939,chester,chester,Orange,36071,328919,78200,140079,187345,13909,748452,748452,0,100400,100400,39572,506823,0,0,1257,748452,0
